timestamp,event_type,event_data
33,stockout,"{'warehouse_id': 2, 'requested': 315, 'fulfilled': 0, 'time': 33}"
34,stockout,"{'warehouse_id': 1, 'requested': 208, 'fulfilled': 0, 'time': 34}"
35,stockout,"{'warehouse_id': 1, 'requested': 269, 'fulfilled': 0, 'time': 35}"
36,kpi_update,"{'time': 36, 'total_inventory': 0, 'total_stockouts': 5845, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.12434456928838955, 'network_efficiency': 6675.0}"
36,stockout,"{'warehouse_id': 2, 'requested': 293, 'fulfilled': 0, 'time': 36}"
37,stockout,"{'warehouse_id': 1, 'requested': 273, 'fulfilled': 0, 'time': 37}"
38,stockout,"{'warehouse_id': 1, 'requested': 302, 'fulfilled': 0, 'time': 38}"
39,stockout,"{'warehouse_id': 3, 'requested': 295, 'fulfilled': 0, 'time': 39}"
40,stockout,"{'warehouse_id': 2, 'requested': 320, 'fulfilled': 0, 'time': 40}"
41,stockout,"{'warehouse_id': 3, 'requested': 373, 'fulfilled': 0, 'time': 41}"
42,kpi_update,"{'time': 42, 'total_inventory': 0, 'total_stockouts': 7701, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.09729222834368778, 'network_efficiency': 8531.0}"
42,stockout,"{'warehouse_id': 3, 'requested': 675, 'fulfilled': 0, 'time': 42}"
43,stockout,"{'warehouse_id': 3, 'requested': 403, 'fulfilled': 0, 'time': 43}"
44,stockout,"{'warehouse_id': 3, 'requested': 364, 'fulfilled': 0, 'time': 44}"
45,stockout,"{'warehouse_id': 2, 'requested': 304, 'fulfilled': 0, 'time': 45}"
46,stockout,"{'warehouse_id': 3, 'requested': 273, 'fulfilled': 0, 'time': 46}"
47,stockout,"{'warehouse_id': 2, 'requested': 186, 'fulfilled': 0, 'time': 47}"
48,kpi_update,"{'time': 48, 'total_inventory': 0, 'total_stockouts': 9906, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.07730998509687037, 'network_efficiency': 10736.0}"
48,stockout,"{'warehouse_id': 2, 'requested': 160, 'fulfilled': 0, 'time': 48}"
49,stockout,"{'warehouse_id': 2, 'requested': 130, 'fulfilled': 0, 'time': 49}"
50,stockout,"{'warehouse_id': 2, 'requested': 110, 'fulfilled': 0, 'time': 50}"
51,stockout,"{'warehouse_id': 1, 'requested': 67, 'fulfilled': 0, 'time': 51}"
52,stockout,"{'warehouse_id': 1, 'requested': 43, 'fulfilled': 0, 'time': 52}"
53,stockout,"{'warehouse_id': 2, 'requested': 67, 'fulfilled': 0, 'time': 53}"
54,kpi_update,"{'time': 54, 'total_inventory': 0, 'total_stockouts': 10483, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.07336692300892778, 'network_efficiency': 11313.0}"
54,stockout,"{'warehouse_id': 3, 'requested': 137, 'fulfilled': 0, 'time': 54}"
55,stockout,"{'warehouse_id': 2, 'requested': 308, 'fulfilled': 0, 'time': 55}"
56,stockout,"{'warehouse_id': 3, 'requested': 670, 'fulfilled': 0, 'time': 56}"
57,stockout,"{'warehouse_id': 2, 'requested': 342, 'fulfilled': 0, 'time': 57}"
58,stockout,"{'warehouse_id': 1, 'requested': 213, 'fulfilled': 0, 'time': 58}"
59,stockout,"{'warehouse_id': 2, 'requested': 267, 'fulfilled': 0, 'time': 59}"
60,kpi_update,"{'time': 60, 'total_inventory': 0, 'total_stockouts': 12420, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.0626415094339623, 'network_efficiency': 13250.0}"
60,stockout,"{'warehouse_id': 3, 'requested': 297, 'fulfilled': 0, 'time': 60}"
61,stockout,"{'warehouse_id': 3, 'requested': 279, 'fulfilled': 0, 'time': 61}"
62,stockout,"{'warehouse_id': 3, 'requested': 270, 'fulfilled': 0, 'time': 62}"
63,stockout,"{'warehouse_id': 3, 'requested': 286, 'fulfilled': 0, 'time': 63}"
64,stockout,"{'warehouse_id': 1, 'requested': 299, 'fulfilled': 0, 'time': 64}"
65,stockout,"{'warehouse_id': 3, 'requested': 382, 'fulfilled': 0, 'time': 65}"
66,kpi_update,"{'time': 66, 'total_inventory': 0, 'total_stockouts': 14233, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.05510190533094339, 'network_efficiency': 15063.0}"
66,stockout,"{'warehouse_id': 1, 'requested': 637, 'fulfilled': 0, 'time': 66}"
67,stockout,"{'warehouse_id': 3, 'requested': 431, 'fulfilled': 0, 'time': 67}"
68,stockout,"{'warehouse_id': 1, 'requested': 294, 'fulfilled': 0, 'time': 68}"
69,stockout,"{'warehouse_id': 2, 'requested': 335, 'fulfilled': 0, 'time': 69}"
70,stockout,"{'warehouse_id': 2, 'requested': 291, 'fulfilled': 0, 'time': 70}"
71,stockout,"{'warehouse_id': 3, 'requested': 197, 'fulfilled': 0, 'time': 71}"
72,kpi_update,"{'time': 72, 'total_inventory': 0, 'total_stockouts': 16418, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.04812152133580705, 'network_efficiency': 17248.0}"
72,stockout,"{'warehouse_id': 2, 'requested': 159, 'fulfilled': 0, 'time': 72}"
73,stockout,"{'warehouse_id': 2, 'requested': 150, 'fulfilled': 0, 'time': 73}"
74,stockout,"{'warehouse_id': 1, 'requested': 123, 'fulfilled': 0, 'time': 74}"
75,stockout,"{'warehouse_id': 3, 'requested': 57, 'fulfilled': 0, 'time': 75}"
76,stockout,"{'warehouse_id': 3, 'requested': 38, 'fulfilled': 0, 'time': 76}"
77,stockout,"{'warehouse_id': 2, 'requested': 66, 'fulfilled': 0, 'time': 77}"
78,kpi_update,"{'time': 78, 'total_inventory': 0, 'total_stockouts': 17011, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.04652205593856851, 'network_efficiency': 17841.0}"
78,stockout,"{'warehouse_id': 2, 'requested': 120, 'fulfilled': 0, 'time': 78}"
79,stockout,"{'warehouse_id': 1, 'requested': 302, 'fulfilled': 0, 'time': 79}"
80,stockout,"{'warehouse_id': 3, 'requested': 646, 'fulfilled': 0, 'time': 80}"
81,stockout,"{'warehouse_id': 2, 'requested': 340, 'fulfilled': 0, 'time': 81}"
82,stockout,"{'warehouse_id': 2, 'requested': 197, 'fulfilled': 0, 'time': 82}"
83,stockout,"{'warehouse_id': 1, 'requested': 264, 'fulfilled': 0, 'time': 83}"
84,kpi_update,"{'time': 84, 'total_inventory': 0, 'total_stockouts': 18880, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.042110603754439424, 'network_efficiency': 19710.0}"
84,stockout,"{'warehouse_id': 1, 'requested': 290, 'fulfilled': 0, 'time': 84}"
85,stockout,"{'warehouse_id': 1, 'requested': 284, 'fulfilled': 0, 'time': 85}"
86,stockout,"{'warehouse_id': 2, 'requested': 262, 'fulfilled': 0, 'time': 86}"
87,stockout,"{'warehouse_id': 3, 'requested': 281, 'fulfilled': 0, 'time': 87}"
88,stockout,"{'warehouse_id': 3, 'requested': 309, 'fulfilled': 0, 'time': 88}"
89,stockout,"{'warehouse_id': 1, 'requested': 397, 'fulfilled': 0, 'time': 89}"
90,kpi_update,"{'time': 90, 'total_inventory': 0, 'total_stockouts': 20703, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.03854548832025262, 'network_efficiency': 21533.0}"
90,stockout,"{'warehouse_id': 1, 'requested': 603, 'fulfilled': 0, 'time': 90}"
91,stockout,"{'warehouse_id': 1, 'requested': 417, 'fulfilled': 0, 'time': 91}"
92,stockout,"{'warehouse_id': 1, 'requested': 311, 'fulfilled': 0, 'time': 92}"
93,stockout,"{'warehouse_id': 1, 'requested': 310, 'fulfilled': 0, 'time': 93}"
94,stockout,"{'warehouse_id': 2, 'requested': 306, 'fulfilled': 0, 'time': 94}"
95,stockout,"{'warehouse_id': 2, 'requested': 221, 'fulfilled': 0, 'time': 95}"
96,kpi_update,"{'time': 96, 'total_inventory': 0, 'total_stockouts': 22871, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.03501961942534071, 'network_efficiency': 23701.0}"
96,stockout,"{'warehouse_id': 3, 'requested': 202, 'fulfilled': 0, 'time': 96}"
97,stockout,"{'warehouse_id': 1, 'requested': 170, 'fulfilled': 0, 'time': 97}"
98,stockout,"{'warehouse_id': 3, 'requested': 118, 'fulfilled': 0, 'time': 98}"
99,stockout,"{'warehouse_id': 1, 'requested': 67, 'fulfilled': 0, 'time': 99}"
100,stockout,"{'warehouse_id': 2, 'requested': 47, 'fulfilled': 0, 'time': 100}"
101,stockout,"{'warehouse_id': 1, 'requested': 75, 'fulfilled': 0, 'time': 101}"
102,kpi_update,"{'time': 102, 'total_inventory': 0, 'total_stockouts': 23550, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.03404429860541425, 'network_efficiency': 24380.0}"
102,stockout,"{'warehouse_id': 1, 'requested': 123, 'fulfilled': 0, 'time': 102}"
103,stockout,"{'warehouse_id': 2, 'requested': 327, 'fulfilled': 0, 'time': 103}"
104,stockout,"{'warehouse_id': 3, 'requested': 665, 'fulfilled': 0, 'time': 104}"
105,stockout,"{'warehouse_id': 1, 'requested': 354, 'fulfilled': 0, 'time': 105}"
106,stockout,"{'warehouse_id': 1, 'requested': 232, 'fulfilled': 0, 'time': 106}"
107,stockout,"{'warehouse_id': 3, 'requested': 308, 'fulfilled': 0, 'time': 107}"
108,kpi_update,"{'time': 108, 'total_inventory': 0, 'total_stockouts': 25559, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.031452499147372026, 'network_efficiency': 26389.0}"
108,stockout,"{'warehouse_id': 1, 'requested': 362, 'fulfilled': 0, 'time': 108}"
109,stockout,"{'warehouse_id': 3, 'requested': 312, 'fulfilled': 0, 'time': 109}"
110,stockout,"{'warehouse_id': 1, 'requested': 343, 'fulfilled': 0, 'time': 110}"
111,stockout,"{'warehouse_id': 1, 'requested': 333, 'fulfilled': 0, 'time': 111}"
112,stockout,"{'warehouse_id': 1, 'requested': 329, 'fulfilled': 0, 'time': 112}"
113,stockout,"{'warehouse_id': 3, 'requested': 446, 'fulfilled': 0, 'time': 113}"
114,kpi_update,"{'time': 114, 'total_inventory': 0, 'total_stockouts': 27684, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.029108508101283626, 'network_efficiency': 28514.0}"
114,stockout,"{'warehouse_id': 1, 'requested': 635, 'fulfilled': 0, 'time': 114}"
115,stockout,"{'warehouse_id': 1, 'requested': 443, 'fulfilled': 0, 'time': 115}"
116,stockout,"{'warehouse_id': 1, 'requested': 322, 'fulfilled': 0, 'time': 116}"
117,stockout,"{'warehouse_id': 1, 'requested': 284, 'fulfilled': 0, 'time': 117}"
118,stockout,"{'warehouse_id': 2, 'requested': 281, 'fulfilled': 0, 'time': 118}"
119,stockout,"{'warehouse_id': 3, 'requested': 189, 'fulfilled': 0, 'time': 119}"
120,kpi_update,"{'time': 120, 'total_inventory': 0, 'total_stockouts': 29838, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.027064040693882907, 'network_efficiency': 30668.0}"
120,stockout,"{'warehouse_id': 1, 'requested': 184, 'fulfilled': 0, 'time': 120}"
121,stockout,"{'warehouse_id': 3, 'requested': 222, 'fulfilled': 0, 'time': 121}"
122,stockout,"{'warehouse_id': 1, 'requested': 176, 'fulfilled': 0, 'time': 122}"
123,stockout,"{'warehouse_id': 1, 'requested': 103, 'fulfilled': 0, 'time': 123}"
124,stockout,"{'warehouse_id': 1, 'requested': 61, 'fulfilled': 0, 'time': 124}"
125,stockout,"{'warehouse_id': 3, 'requested': 48, 'fulfilled': 0, 'time': 125}"
126,kpi_update,"{'time': 126, 'total_inventory': 0, 'total_stockouts': 30632, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.026381031085118578, 'network_efficiency': 31462.0}"
126,stockout,"{'warehouse_id': 1, 'requested': 69, 'fulfilled': 0, 'time': 126}"
127,stockout,"{'warehouse_id': 3, 'requested': 105, 'fulfilled': 0, 'time': 127}"
128,stockout,"{'warehouse_id': 3, 'requested': 186, 'fulfilled': 0, 'time': 128}"
129,stockout,"{'warehouse_id': 3, 'requested': 221, 'fulfilled': 0, 'time': 129}"
130,stockout,"{'warehouse_id': 1, 'requested': 204, 'fulfilled': 0, 'time': 130}"
131,stockout,"{'warehouse_id': 1, 'requested': 245, 'fulfilled': 0, 'time': 131}"
132,kpi_update,"{'time': 132, 'total_inventory': 0, 'total_stockouts': 31662, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.025544749476794304, 'network_efficiency': 32492.0}"
132,stockout,"{'warehouse_id': 1, 'requested': 283, 'fulfilled': 0, 'time': 132}"
133,stockout,"{'warehouse_id': 1, 'requested': 356, 'fulfilled': 0, 'time': 133}"
134,stockout,"{'warehouse_id': 3, 'requested': 370, 'fulfilled': 0, 'time': 134}"
135,stockout,"{'warehouse_id': 2, 'requested': 373, 'fulfilled': 0, 'time': 135}"
136,stockout,"{'warehouse_id': 2, 'requested': 352, 'fulfilled': 0, 'time': 136}"
137,stockout,"{'warehouse_id': 2, 'requested': 354, 'fulfilled': 0, 'time': 137}"
138,kpi_update,"{'time': 138, 'total_inventory': 0, 'total_stockouts': 33750, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.024002313475997683, 'network_efficiency': 34580.0}"
138,stockout,"{'warehouse_id': 1, 'requested': 271, 'fulfilled': 0, 'time': 138}"
139,stockout,"{'warehouse_id': 2, 'requested': 207, 'fulfilled': 0, 'time': 139}"
140,stockout,"{'warehouse_id': 1, 'requested': 189, 'fulfilled': 0, 'time': 140}"
141,stockout,"{'warehouse_id': 3, 'requested': 214, 'fulfilled': 0, 'time': 141}"
142,stockout,"{'warehouse_id': 1, 'requested': 218, 'fulfilled': 0, 'time': 142}"
143,stockout,"{'warehouse_id': 3, 'requested': 169, 'fulfilled': 0, 'time': 143}"
144,kpi_update,"{'time': 144, 'total_inventory': 0, 'total_stockouts': 35018, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.023153313992412383, 'network_efficiency': 35848.0}"
144,stockout,"{'warehouse_id': 3, 'requested': 192, 'fulfilled': 0, 'time': 144}"
145,stockout,"{'warehouse_id': 3, 'requested': 162, 'fulfilled': 0, 'time': 145}"
146,stockout,"{'warehouse_id': 2, 'requested': 128, 'fulfilled': 0, 'time': 146}"
147,stockout,"{'warehouse_id': 1, 'requested': 102, 'fulfilled': 0, 'time': 147}"
148,stockout,"{'warehouse_id': 3, 'requested': 62, 'fulfilled': 0, 'time': 148}"
149,stockout,"{'warehouse_id': 1, 'requested': 40, 'fulfilled': 0, 'time': 149}"
150,kpi_update,"{'time': 150, 'total_inventory': 0, 'total_stockouts': 35704, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.022718563529862568, 'network_efficiency': 36534.0}"
150,stockout,"{'warehouse_id': 1, 'requested': 38, 'fulfilled': 0, 'time': 150}"
151,stockout,"{'warehouse_id': 1, 'requested': 60, 'fulfilled': 0, 'time': 151}"
152,stockout,"{'warehouse_id': 1, 'requested': 122, 'fulfilled': 0, 'time': 152}"
153,stockout,"{'warehouse_id': 1, 'requested': 143, 'fulfilled': 0, 'time': 153}"
154,stockout,"{'warehouse_id': 3, 'requested': 179, 'fulfilled': 0, 'time': 154}"
155,stockout,"{'warehouse_id': 1, 'requested': 214, 'fulfilled': 0, 'time': 155}"
156,kpi_update,"{'time': 156, 'total_inventory': 0, 'total_stockouts': 36460, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.02225797801019036, 'network_efficiency': 37290.0}"
156,stockout,"{'warehouse_id': 1, 'requested': 278, 'fulfilled': 0, 'time': 156}"
157,stockout,"{'warehouse_id': 2, 'requested': 265, 'fulfilled': 0, 'time': 157}"
158,stockout,"{'warehouse_id': 3, 'requested': 331, 'fulfilled': 0, 'time': 158}"
159,stockout,"{'warehouse_id': 1, 'requested': 368, 'fulfilled': 0, 'time': 159}"
160,stockout,"{'warehouse_id': 1, 'requested': 333, 'fulfilled': 0, 'time': 160}"
161,stockout,"{'warehouse_id': 1, 'requested': 349, 'fulfilled': 0, 'time': 161}"
162,kpi_update,"{'time': 162, 'total_inventory': 0, 'total_stockouts': 38384, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.021165910134135713, 'network_efficiency': 39214.0}"
162,stockout,"{'warehouse_id': 2, 'requested': 270, 'fulfilled': 0, 'time': 162}"
163,stockout,"{'warehouse_id': 1, 'requested': 246, 'fulfilled': 0, 'time': 163}"
164,stockout,"{'warehouse_id': 1, 'requested': 233, 'fulfilled': 0, 'time': 164}"
165,stockout,"{'warehouse_id': 3, 'requested': 236, 'fulfilled': 0, 'time': 165}"
166,stockout,"{'warehouse_id': 2, 'requested': 214, 'fulfilled': 0, 'time': 166}"
167,stockout,"{'warehouse_id': 1, 'requested': 149, 'fulfilled': 0, 'time': 167}"
168,kpi_update,"{'time': 168, 'total_inventory': 0, 'total_stockouts': 39732, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.02046250184902121, 'network_efficiency': 40562.0}"
168,stockout,"{'warehouse_id': 3, 'requested': 149, 'fulfilled': 0, 'time': 168}"
169,stockout,"{'warehouse_id': 1, 'requested': 109, 'fulfilled': 0, 'time': 169}"
170,stockout,"{'warehouse_id': 1, 'requested': 77, 'fulfilled': 0, 'time': 170}"
171,stockout,"{'warehouse_id': 2, 'requested': 53, 'fulfilled': 0, 'time': 171}"
172,stockout,"{'warehouse_id': 3, 'requested': 46, 'fulfilled': 0, 'time': 172}"
173,stockout,"{'warehouse_id': 2, 'requested': 67, 'fulfilled': 0, 'time': 173}"
174,kpi_update,"{'time': 174, 'total_inventory': 0, 'total_stockouts': 40233, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.0202128436792246, 'network_efficiency': 41063.0}"
174,stockout,"{'warehouse_id': 2, 'requested': 159, 'fulfilled': 0, 'time': 174}"
175,stockout,"{'warehouse_id': 1, 'requested': 374, 'fulfilled': 0, 'time': 175}"
176,stockout,"{'warehouse_id': 1, 'requested': 701, 'fulfilled': 0, 'time': 176}"
177,stockout,"{'warehouse_id': 2, 'requested': 387, 'fulfilled': 0, 'time': 177}"
178,stockout,"{'warehouse_id': 2, 'requested': 253, 'fulfilled': 0, 'time': 178}"
179,stockout,"{'warehouse_id': 1, 'requested': 278, 'fulfilled': 0, 'time': 179}"
180,kpi_update,"{'time': 180, 'total_inventory': 0, 'total_stockouts': 42385, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.019206294110841182, 'network_efficiency': 43215.0}"
180,stockout,"{'warehouse_id': 1, 'requested': 356, 'fulfilled': 0, 'time': 180}"
181,stockout,"{'warehouse_id': 1, 'requested': 303, 'fulfilled': 0, 'time': 181}"
182,stockout,"{'warehouse_id': 3, 'requested': 349, 'fulfilled': 0, 'time': 182}"
183,stockout,"{'warehouse_id': 1, 'requested': 318, 'fulfilled': 0, 'time': 183}"
184,stockout,"{'warehouse_id': 1, 'requested': 353, 'fulfilled': 0, 'time': 184}"
185,stockout,"{'warehouse_id': 1, 'requested': 385, 'fulfilled': 0, 'time': 185}"
186,kpi_update,"{'time': 186, 'total_inventory': 0, 'total_stockouts': 44449, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.018330793524591993, 'network_efficiency': 45279.0}"
186,stockout,"{'warehouse_id': 3, 'requested': 316, 'fulfilled': 0, 'time': 186}"
187,stockout,"{'warehouse_id': 3, 'requested': 127, 'fulfilled': 0, 'time': 187}"
188,stockout,"{'warehouse_id': 1, 'requested': 144, 'fulfilled': 0, 'time': 188}"
189,stockout,"{'warehouse_id': 2, 'requested': 146, 'fulfilled': 0, 'time': 189}"
190,stockout,"{'warehouse_id': 1, 'requested': 149, 'fulfilled': 0, 'time': 190}"
191,stockout,"{'warehouse_id': 3, 'requested': 112, 'fulfilled': 0, 'time': 191}"
192,kpi_update,"{'time': 192, 'total_inventory': 0, 'total_stockouts': 45443, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.017937025911438642, 'network_efficiency': 46273.0}"
192,stockout,"{'warehouse_id': 1, 'requested': 100, 'fulfilled': 0, 'time': 192}"
193,stockout,"{'warehouse_id': 3, 'requested': 107, 'fulfilled': 0, 'time': 193}"
194,stockout,"{'warehouse_id': 1, 'requested': 75, 'fulfilled': 0, 'time': 194}"
195,stockout,"{'warehouse_id': 3, 'requested': 52, 'fulfilled': 0, 'time': 195}"
196,stockout,"{'warehouse_id': 3, 'requested': 38, 'fulfilled': 0, 'time': 196}"
197,stockout,"{'warehouse_id': 1, 'requested': 52, 'fulfilled': 0, 'time': 197}"
