Date,Hour,Seasons,Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Rainfall(mm),Snowfall (cm),is_weekend,is_holiday,warehouse_id
2017-12-02,3,Winter,167,-3.5,81.0,2.2,0.0,0.0,1,0,1
2017-12-02,4,Winter,89,-3.8,79.0,2.0,0.0,0.0,1,0,1
2017-12-02,5,Winter,79,-4.0,79.0,1.5,0.0,0.0,1,0,1
2017-12-02,6,Winter,70,-4.3,82.0,2.1,0.0,0.0,1,0,1
2017-12-02,7,Winter,146,-4.4,81.0,2.5,0.0,0.0,1,0,1
2017-12-02,8,Winter,219,-4.2,79.0,2.1,0.0,0.0,1,0,3
2017-12-02,9,Winter,328,-2.9,68.0,1.6,0.0,0.0,1,0,3
2017-12-02,10,Winter,334,-0.4,57.0,1.6,0.0,0.0,1,0,1
2017-12-02,11,Winter,388,1.9,49.0,1.8,0.0,0.0,1,0,1
2017-12-02,12,Winter,479,4.3,41.0,1.3,0.0,0.0,1,0,1
2017-12-02,13,Winter,606,6.0,36.0,1.8,0.0,0.0,1,0,1
2017-12-02,14,Winter,611,7.3,35.0,1.3,0.0,0.0,1,0,3
2017-12-02,15,Winter,589,7.6,41.0,2.3,0.0,0.0,1,0,2
2017-12-02,16,Winter,618,6.4,48.0,2.6,0.0,0.0,1,0,1
2017-12-02,17,Winter,572,6.0,51.0,2.5,0.0,0.0,1,0,1
2017-12-02,18,Winter,489,5.5,53.0,1.5,0.0,0.0,1,0,2
2017-12-02,19,Winter,385,5.0,52.0,2.3,0.0,0.0,1,0,1
2017-12-02,20,Winter,359,4.6,51.0,1.2,0.0,0.0,1,0,1
2017-12-02,21,Winter,377,4.1,55.0,1.2,0.0,0.0,1,0,1
2017-12-02,22,Winter,354,3.5,54.0,1.5,0.0,0.0,1,0,3
2017-12-02,23,Winter,366,4.0,56.0,1.0,0.0,0.0,1,0,3
2017-12-03,0,Winter,342,4.0,58.0,1.4,0.0,0.0,1,0,2
2017-12-03,1,Winter,227,3.9,69.0,1.7,0.0,0.0,1,0,2
2017-12-03,2,Winter,228,3.3,79.0,1.4,0.0,0.0,1,0,1
2017-12-03,3,Winter,117,3.4,71.0,1.6,0.5,0.0,1,0,1
2017-12-03,4,Winter,76,3.5,73.0,1.0,0.0,0.0,1,0,2
2017-12-03,5,Winter,32,3.9,75.0,1.9,0.0,0.0,1,0,1
2017-12-03,6,Winter,13,3.4,86.0,2.5,1.0,0.0,1,0,1
2017-12-03,7,Winter,22,3.1,91.0,1.2,0.0,0.0,1,0,1
2017-12-03,8,Winter,85,3.2,92.0,1.8,0.0,0.0,1,0,1
2017-12-03,9,Winter,152,3.5,91.0,1.8,2.5,0.0,1,0,3
2017-12-03,10,Winter,200,4.4,89.0,2.2,0.0,0.0,1,0,2
2017-12-03,11,Winter,273,5.1,87.0,1.4,0.0,0.0,1,0,2
2017-12-03,12,Winter,333,5.8,85.0,1.7,0.0,0.0,1,0,2
2017-12-03,13,Winter,495,6.8,81.0,1.9,0.0,0.0,1,0,1
2017-12-03,14,Winter,563,7.6,76.0,1.2,0.0,0.0,1,0,3
2017-12-03,15,Winter,621,8.0,73.0,1.6,0.0,0.0,1,0,2
2017-12-03,16,Winter,598,7.6,77.0,1.6,0.0,0.0,1,0,1
2017-12-03,17,Winter,545,6.7,82.0,1.5,0.0,0.0,1,0,1
2017-12-03,18,Winter,443,6.0,84.0,1.9,0.0,0.0,1,0,3
2017-12-03,19,Winter,422,5.7,85.0,1.7,0.0,0.0,1,0,1
2017-12-03,20,Winter,397,5.2,87.0,1.4,0.0,0.0,1,0,2
2017-12-03,21,Winter,385,4.7,87.0,1.2,0.0,0.0,1,0,2
2017-12-03,22,Winter,350,4.3,89.0,1.8,0.0,0.0,1,0,1
2017-12-03,23,Winter,303,3.9,90.0,1.3,0.0,0.0,1,0,2
2017-12-04,0,Winter,285,4.2,88.0,0.6,0.0,0.0,0,0,2
2017-12-04,1,Winter,186,4.3,87.0,0.5,0.0,0.0,0,0,1
2017-12-04,2,Winter,112,4.4,87.0,1.8,0.0,0.0,0,0,3
2017-12-04,3,Winter,65,3.6,85.0,2.3,0.0,0.0,0,0,3
2017-12-04,4,Winter,41,2.8,89.0,1.5,0.0,0.0,0,0,3
2017-12-04,5,Winter,82,2.0,83.0,2.7,0.0,0.0,0,0,2
2017-12-04,6,Winter,200,1.2,76.0,3.7,0.1,0.0,0,0,1
2017-12-04,7,Winter,498,0.2,68.0,3.4,0.0,0.0,0,0,2
2017-12-04,8,Winter,937,-0.8,69.0,3.5,0.0,0.0,0,0,1
2017-12-04,9,Winter,509,-1.5,47.0,4.2,0.0,0.0,0,0,3
2017-12-04,10,Winter,311,-1.1,40.0,4.5,0.0,0.0,0,0,2
2017-12-04,11,Winter,379,-0.5,41.0,4.1,0.0,0.0,0,0,1
2017-12-04,12,Winter,393,-0.3,38.0,4.8,0.0,0.0,0,0,3
2017-12-04,13,Winter,391,0.0,30.0,5.4,0.0,0.0,0,0,3
2017-12-04,14,Winter,338,0.1,27.0,4.5,0.0,0.0,0,0,3
2017-12-04,15,Winter,341,-0.1,25.0,5.8,0.0,0.0,0,0,3
2017-12-04,16,Winter,375,-0.2,23.0,4.7,0.0,0.0,0,0,1
2017-12-04,17,Winter,515,-1.3,26.0,5.3,0.0,0.0,0,0,2
2017-12-04,18,Winter,807,-2.1,29.0,3.9,0.0,0.0,0,0,2
2017-12-04,19,Winter,568,-2.9,32.0,3.2,0.0,0.0,0,0,1
2017-12-04,20,Winter,398,-3.6,38.0,3.0,0.0,0.0,0,0,1
2017-12-04,21,Winter,397,-4.6,43.0,4.5,0.0,0.0,0,0,2
2017-12-04,22,Winter,353,-5.3,45.0,2.5,0.0,0.0,0,0,1
2017-12-04,23,Winter,248,-5.8,44.0,2.4,0.0,0.0,0,0,3
2017-12-05,0,Winter,216,-6.1,42.0,2.6,0.0,0.0,0,0,2
2017-12-05,1,Winter,198,-6.5,41.0,2.8,0.0,0.0,0,0,3
2017-12-05,2,Winter,124,-6.8,41.0,2.5,0.0,0.0,0,0,3
2017-12-05,3,Winter,62,-6.9,39.0,2.0,0.0,0.0,0,0,1
2017-12-05,4,Winter,42,-7.2,34.0,3.0,0.0,0.0,0,0,1
2017-12-05,5,Winter,82,-7.4,33.0,2.6,0.0,0.0,0,0,2
2017-12-05,6,Winter,172,-7.4,34.0,3.2,0.0,0.0,0,0,1
2017-12-05,7,Winter,381,-7.5,33.0,2.2,0.0,0.0,0,0,1
2017-12-05,8,Winter,812,-8.1,36.0,1.6,0.0,0.0,0,0,3
2017-12-05,9,Winter,462,-7.6,31.0,1.3,0.0,0.0,0,0,1
2017-12-05,10,Winter,269,-5.5,26.0,2.8,0.0,0.0,0,0,1
2017-12-05,11,Winter,334,-3.9,25.0,0.0,0.0,0.0,0,0,1
2017-12-05,12,Winter,321,-2.3,25.0,0.0,0.0,0.0,0,0,1
2017-12-05,13,Winter,325,-1.6,27.0,0.0,0.0,0.0,0,0,2
2017-12-05,14,Winter,334,-1.1,28.0,0.0,0.0,0.0,0,0,3
2017-12-05,15,Winter,353,-0.7,28.0,0.0,0.0,0.0,0,0,1
2017-12-05,16,Winter,435,-0.5,30.0,0.0,0.0,0.0,0,0,1
2017-12-05,17,Winter,529,-1.6,35.0,0.0,0.0,0.0,0,0,1
2017-12-05,18,Winter,789,-2.6,40.0,0.0,0.0,0.0,0,0,2
2017-12-05,19,Winter,597,-3.2,45.0,0.0,0.0,0.0,0,0,3
2017-12-05,20,Winter,418,-3.5,46.0,0.0,0.0,0.0,0,0,1
2017-12-05,21,Winter,415,-3.7,47.0,0.0,0.0,0.0,0,0,2
2017-12-05,22,Winter,393,-2.8,49.0,0.0,0.0,0.0,0,0,1
2017-12-05,23,Winter,244,-2.5,59.0,0.0,0.0,0.0,0,0,1
2017-12-06,0,Winter,145,-2.8,77.0,0.0,0.1,0.1,0,0,3
2017-12-06,1,Winter,144,-3.0,79.0,0.0,0.0,0.3,0,0,1
2017-12-06,2,Winter,117,-3.0,79.0,0.0,0.0,0.4,0,0,2
2017-12-06,3,Winter,78,-3.2,78.0,0.0,0.2,0.4,0,0,3
2017-12-06,4,Winter,58,-3.4,75.0,0.0,0.0,0.4,0,0,1
2017-12-06,5,Winter,87,-3.6,76.0,0.0,0.0,0.4,0,0,3
2017-12-06,6,Winter,142,-3.7,76.0,0.0,0.0,0.4,0,0,2
2017-12-06,7,Winter,379,-4.2,77.0,0.0,0.0,0.3,0,0,2
2017-12-06,8,Winter,802,-4.2,78.0,0.0,0.0,0.2,0,0,2
2017-12-06,9,Winter,440,-3.3,70.0,0.0,0.0,0.2,0,0,1
2017-12-06,10,Winter,307,-0.9,64.0,0.0,0.0,0.2,0,0,3
2017-12-06,11,Winter,381,1.6,57.0,1.2,0.0,0.0,0,0,1
2017-12-06,12,Winter,405,2.4,52.0,0.9,0.0,0.0,0,0,2
2017-12-06,13,Winter,442,4.2,47.0,1.1,0.0,0.0,0,0,3
2017-12-06,14,Winter,416,5.5,34.0,1.0,0.0,0.0,0,0,3
2017-12-06,15,Winter,412,5.5,31.0,3.1,0.0,0.0,0,0,3
2017-12-06,16,Winter,496,5.3,37.0,2.9,0.0,0.0,0,0,2
2017-12-06,17,Winter,239,4.1,60.0,2.5,0.0,0.0,0,0,1
2017-12-06,18,Winter,204,1.7,90.0,1.0,0.3,0.3,0,0,1
2017-12-06,19,Winter,205,1.2,92.0,0.7,0.0,1.0,0,0,2
2017-12-06,20,Winter,190,1.2,94.0,0.6,0.0,1.0,0,0,1
2017-12-06,21,Winter,165,1.1,92.0,0.5,0.7,1.0,0,0,3
2017-12-06,22,Winter,222,1.3,92.0,0.6,0.0,1.0,0,0,2
2017-12-06,23,Winter,193,1.3,92.0,0.6,0.0,1.0,0,0,1
2017-12-07,0,Winter,198,1.4,92.0,0.5,0.0,0.9,0,0,3
2017-12-07,1,Winter,218,1.5,92.0,0.4,0.0,0.9,0,0,1
2017-12-07,2,Winter,149,1.4,92.0,0.7,0.0,0.9,0,0,3
2017-12-07,3,Winter,102,1.9,91.0,1.4,0.0,0.9,0,0,1
2017-12-07,4,Winter,62,1.6,92.0,0.7,0.0,0.9,0,0,3
2017-12-07,5,Winter,83,1.5,92.0,1.1,0.0,0.9,0,0,2
2017-12-07,6,Winter,137,1.0,93.0,0.5,0.0,0.9,0,0,1
2017-12-07,7,Winter,367,0.3,93.0,0.5,0.0,0.9,0,0,1
2017-12-07,8,Winter,754,-0.2,96.0,0.8,0.0,0.8,0,0,1
2017-12-07,9,Winter,415,0.1,91.0,0.8,0.0,0.8,0,0,3
2017-12-07,10,Winter,321,1.1,83.0,0.7,0.0,0.7,0,0,1
2017-12-07,11,Winter,333,2.3,69.0,1.7,0.0,0.6,0,0,2
2017-12-07,12,Winter,431,3.7,65.0,2.4,0.0,0.3,0,0,1
2017-12-07,13,Winter,394,4.1,37.0,3.1,0.0,0.0,0,0,3
2017-12-07,14,Winter,390,4.4,36.0,2.7,0.0,0.0,0,0,1
2017-12-07,15,Winter,430,4.0,35.0,3.1,0.0,0.0,0,0,1
2017-12-07,16,Winter,471,3.2,38.0,2.9,0.0,0.0,0,0,1
2017-12-07,17,Winter,552,2.1,50.0,2.0,0.0,0.0,0,0,3
2017-12-07,18,Winter,795,0.7,46.0,2.7,0.0,0.0,0,0,2
2017-12-07,19,Winter,507,-0.4,47.0,2.5,0.0,0.0,0,0,2
2017-12-07,20,Winter,390,-1.4,47.0,2.5,0.0,0.0,0,0,2
2017-12-07,21,Winter,402,-2.2,46.0,2.2,0.0,0.0,0,0,2
2017-12-07,22,Winter,389,-2.7,48.0,2.6,0.0,0.0,0,0,3
2017-12-07,23,Winter,259,-3.2,50.0,2.1,0.0,0.0,0,0,3
2017-12-08,0,Winter,233,-3.5,49.0,2.6,0.0,0.0,0,0,3
2017-12-08,1,Winter,230,-3.7,50.0,2.5,0.0,0.0,0,0,1
2017-12-08,2,Winter,131,-4.3,53.0,1.0,0.0,0.0,0,0,3
2017-12-08,3,Winter,99,-4.8,52.0,1.6,0.0,0.0,0,0,1
2017-12-08,4,Winter,71,-5.3,53.0,2.4,0.0,0.0,0,0,2
2017-12-08,5,Winter,84,-5.8,56.0,2.0,0.0,0.0,0,0,1
2017-12-08,6,Winter,158,-6.0,56.0,3.5,0.0,0.0,0,0,1
2017-12-08,7,Winter,387,-6.5,57.0,0.8,0.0,0.0,0,0,2
2017-12-08,8,Winter,780,-7.0,59.0,0.8,0.0,0.0,0,0,2
2017-12-08,9,Winter,395,-6.7,50.0,0.9,0.0,0.0,0,0,1
2017-12-08,10,Winter,261,-5.3,44.0,2.8,0.0,0.0,0,0,3
2017-12-08,11,Winter,310,-3.7,39.0,1.4,0.0,0.0,0,0,2
2017-12-08,12,Winter,355,-2.0,30.0,1.4,0.0,0.0,0,0,3
2017-12-08,13,Winter,354,-1.7,28.0,1.8,0.0,0.0,0,0,1
2017-12-08,14,Winter,350,-1.3,27.0,3.1,0.0,0.0,0,0,2
2017-12-08,15,Winter,362,-0.8,26.0,3.3,0.0,0.0,0,0,1
2017-12-08,16,Winter,401,-1.1,24.0,3.4,0.0,0.0,0,0,2
2017-12-08,17,Winter,500,-2.4,30.0,2.7,0.0,0.0,0,0,3
2017-12-08,18,Winter,752,-3.1,33.0,1.2,0.0,0.0,0,0,3
2017-12-08,19,Winter,477,-3.3,35.0,1.1,0.0,0.0,0,0,1
2017-12-08,20,Winter,384,-3.3,34.0,1.5,0.0,0.0,0,0,1
2017-12-08,21,Winter,336,-3.3,35.0,0.5,0.0,0.0,0,0,1
2017-12-08,22,Winter,347,-3.4,39.0,1.2,0.0,0.0,0,0,3
2017-12-08,23,Winter,275,-3.5,43.0,0.9,0.0,0.0,0,0,3
2017-12-09,0,Winter,267,-3.5,48.0,0.9,0.0,0.0,1,0,2
2017-12-09,1,Winter,296,-4.1,49.0,0.6,0.0,0.0,1,0,2
2017-12-09,2,Winter,237,-4.7,50.0,0.7,0.0,0.0,1,0,3
2017-12-09,3,Winter,169,-4.3,47.0,0.6,0.0,0.0,1,0,2
2017-12-09,4,Winter,96,-4.3,49.0,0.7,0.0,0.0,1,0,3
2017-12-09,5,Winter,56,-4.7,49.0,0.8,0.0,0.0,1,0,1
2017-12-09,6,Winter,76,-5.1,53.0,0.9,0.0,0.0,1,0,3
2017-12-09,7,Winter,127,-5.5,56.0,0.8,0.0,0.0,1,0,1
2017-12-09,8,Winter,222,-5.4,56.0,0.7,0.0,0.0,1,0,1
2017-12-09,9,Winter,291,-4.7,48.0,1.0,0.0,0.0,1,0,1
2017-12-09,10,Winter,273,-2.2,42.0,1.3,0.0,0.0,1,0,3
2017-12-09,11,Winter,351,0.0,45.0,1.1,0.0,0.0,1,0,3
2017-12-09,12,Winter,427,2.4,40.0,0.8,0.0,0.0,1,0,3
2017-12-09,13,Winter,431,3.9,36.0,2.0,0.0,0.0,1,0,1
2017-12-09,14,Winter,486,4.7,32.0,2.2,0.0,0.0,1,0,1
2017-12-09,15,Winter,569,5.2,30.0,2.0,0.0,0.0,1,0,3
2017-12-09,16,Winter,546,4.4,33.0,1.6,0.0,0.0,1,0,2
2017-12-09,17,Winter,481,3.5,37.0,1.8,0.0,0.0,1,0,2
2017-12-09,18,Winter,384,2.5,41.0,1.0,0.0,0.0,1,0,3
2017-12-09,19,Winter,275,1.5,48.0,0.4,0.0,0.0,1,0,2
2017-12-09,20,Winter,298,0.8,51.0,1.4,0.0,0.0,1,0,2
2017-12-09,21,Winter,321,-0.1,55.0,0.7,0.0,0.0,1,0,3
2017-12-09,22,Winter,289,-0.5,55.0,0.6,0.0,0.0,1,0,1
2017-12-09,23,Winter,265,-0.1,54.0,1.3,0.0,0.0,1,0,3
2017-12-10,0,Winter,326,-0.2,55.0,1.0,0.0,0.0,1,0,3
2017-12-10,1,Winter,280,-0.2,54.0,0.5,0.0,0.0,1,0,3
2017-12-10,2,Winter,243,0.2,52.0,0.7,0.0,0.0,1,0,1
2017-12-10,3,Winter,169,0.3,53.0,0.5,0.0,0.0,1,0,2
2017-12-10,4,Winter,71,0.4,52.0,1.6,0.0,0.0,1,0,2
2017-12-10,5,Winter,13,0.3,74.0,1.0,0.0,0.7,1,0,1
2017-12-10,6,Winter,9,-0.5,90.0,0.9,2.5,2.7,1,0,1
2017-12-10,7,Winter,20,-0.4,92.0,1.1,0.0,4.0,1,0,1
2017-12-10,8,Winter,35,-0.2,90.0,1.2,0.0,4.1,1,0,3
2017-12-10,9,Winter,31,0.2,90.0,1.0,1.6,4.3,1,0,3
2017-12-10,10,Winter,19,0.5,91.0,0.4,0.0,4.3,1,0,3
2017-12-10,11,Winter,58,0.9,92.0,0.9,0.0,3.9,1,0,1
2017-12-10,12,Winter,119,2.3,88.0,0.3,0.0,3.1,1,0,3
2017-12-10,13,Winter,182,3.3,87.0,1.1,0.0,2.1,1,0,3
2017-12-10,14,Winter,235,4.2,85.0,0.7,0.0,1.4,1,0,3
2017-12-10,15,Winter,180,6.7,63.0,4.5,0.0,1.0,1,0,1
2017-12-10,16,Winter,214,5.4,71.0,3.5,0.0,0.5,1,0,2
2017-12-10,17,Winter,226,3.6,65.0,4.3,0.0,0.4,1,0,2
2017-12-10,18,Winter,210,2.0,61.0,3.0,0.0,0.0,1,0,3
2017-12-10,19,Winter,181,1.6,53.0,4.0,0.0,0.0,1,0,3
2017-12-10,20,Winter,165,0.6,57.0,3.9,0.0,0.0,1,0,2
2017-12-10,21,Winter,167,0.0,59.0,3.0,0.0,0.0,1,0,2
2017-12-10,22,Winter,152,-1.0,56.0,4.7,0.0,0.0,1,0,2
2017-12-10,23,Winter,148,-1.4,43.0,4.3,0.0,0.0,1,0,3
2017-12-11,0,Winter,125,-2.5,39.0,3.4,0.0,0.0,0,0,1
2017-12-11,1,Winter,111,-3.4,36.0,3.8,0.0,0.0,0,0,2
2017-12-11,2,Winter,67,-4.2,35.0,3.4,0.0,0.0,0,0,3
2017-12-11,3,Winter,45,-4.7,38.0,2.4,0.0,0.0,0,0,1
2017-12-11,4,Winter,44,-5.2,35.0,3.2,0.0,0.0,0,0,3
2017-12-11,5,Winter,86,-5.6,38.0,3.2,0.0,0.0,0,0,2
2017-12-11,6,Winter,136,-5.9,39.0,2.9,0.0,0.0,0,0,1
2017-12-11,7,Winter,325,-6.0,39.0,3.1,0.0,0.0,0,0,2
2017-12-11,8,Winter,653,-6.0,38.0,3.6,0.0,0.0,0,0,1
2017-12-11,9,Winter,326,-5.9,36.0,5.1,0.0,0.0,0,0,1
2017-12-11,10,Winter,212,-5.3,32.0,4.5,0.0,0.0,0,0,1
2017-12-11,11,Winter,226,-4.7,36.0,3.8,0.0,0.0,0,0,2
2017-12-11,12,Winter,247,-5.2,33.0,4.6,0.0,0.0,0,0,3
2017-12-11,13,Winter,241,-5.4,32.0,5.1,0.0,0.0,0,0,1
2017-12-11,14,Winter,253,-5.4,31.0,4.1,0.0,0.0,0,0,1
2017-12-11,15,Winter,269,-5.5,33.0,4.5,0.0,0.0,0,0,1
2017-12-11,16,Winter,277,-6.0,40.0,4.0,0.0,0.0,0,0,2
2017-12-11,17,Winter,361,-7.1,44.0,4.2,0.0,0.0,0,0,2
2017-12-11,18,Winter,557,-7.9,43.0,3.3,0.0,0.0,0,0,1
2017-12-11,19,Winter,371,-8.6,45.0,3.9,0.0,0.0,0,0,2
2017-12-11,20,Winter,254,-9.3,49.0,3.8,0.0,0.0,0,0,3
2017-12-11,21,Winter,266,-9.7,51.0,2.5,0.0,0.0,0,0,1
2017-12-11,22,Winter,222,-10.2,50.0,3.0,0.0,0.0,0,0,2
2017-12-11,23,Winter,174,-10.7,53.0,1.2,0.0,0.0,0,0,1
2017-12-12,0,Winter,133,-11.0,51.0,1.1,0.0,0.0,0,0,1
2017-12-12,1,Winter,127,-11.2,51.0,1.1,0.0,0.0,0,0,3
2017-12-12,2,Winter,95,-11.5,50.0,0.7,0.0,0.0,0,0,1
2017-12-12,3,Winter,54,-11.6,50.0,2.2,0.0,0.0,0,0,3
2017-12-12,4,Winter,46,-11.6,47.0,2.1,0.0,0.0,0,0,3
2017-12-12,5,Winter,65,-11.6,45.0,2.8,0.0,0.0,0,0,2
2017-12-12,6,Winter,104,-11.8,47.0,2.5,0.0,0.0,0,0,1
2017-12-12,7,Winter,280,-12.1,50.0,2.3,0.0,0.0,0,0,2
2017-12-12,8,Winter,580,-12.3,52.0,1.3,0.0,0.0,0,0,2
2017-12-12,9,Winter,275,-11.8,46.0,2.9,0.0,0.0,0,0,2
2017-12-12,10,Winter,184,-10.5,45.0,3.3,0.0,0.0,0,0,3
2017-12-12,11,Winter,201,-9.4,42.0,3.1,0.0,0.0,0,0,3
2017-12-12,12,Winter,228,-8.3,35.0,2.9,0.0,0.0,0,0,3
2017-12-12,13,Winter,225,-6.9,37.0,2.4,0.0,0.0,0,0,2
2017-12-12,14,Winter,258,-5.4,32.0,2.0,0.0,0.0,0,0,3
2017-12-12,15,Winter,250,-5.8,30.0,2.8,0.0,0.0,0,0,3
2017-12-12,16,Winter,248,-6.0,29.0,2.8,0.0,0.0,0,0,1
2017-12-12,17,Winter,305,-7.0,32.0,2.6,0.0,0.0,0,0,1
2017-12-12,18,Winter,529,-7.7,36.0,1.0,0.0,0.0,0,0,1
2017-12-12,19,Winter,350,-8.2,43.0,1.1,0.0,0.0,0,0,3
2017-12-12,20,Winter,260,-8.4,42.0,1.0,0.0,0.0,0,0,1
2017-12-12,21,Winter,270,-8.8,43.0,1.4,0.0,0.0,0,0,3
2017-12-12,22,Winter,256,-9.0,45.0,1.3,0.0,0.0,0,0,1
2017-12-12,23,Winter,173,-9.3,47.0,2.1,0.0,0.0,0,0,1
2017-12-13,0,Winter,168,-9.5,48.0,1.3,0.0,0.0,0,0,2
2017-12-13,1,Winter,183,-10.2,52.0,1.6,0.0,0.0,0,0,2
2017-12-13,2,Winter,120,-10.4,53.0,1.8,0.0,0.0,0,0,3
2017-12-13,3,Winter,79,-10.9,55.0,1.8,0.0,0.0,0,0,1
2017-12-13,4,Winter,41,-11.4,58.0,1.3,0.0,0.0,0,0,3
2017-12-13,5,Winter,68,-11.5,58.0,1.1,0.0,0.0,0,0,3
2017-12-13,6,Winter,109,-11.9,57.0,1.1,0.0,0.0,0,0,3
2017-12-13,7,Winter,310,-11.7,53.0,1.6,0.0,0.0,0,0,3
2017-12-13,8,Winter,591,-11.4,47.0,3.3,0.0,0.0,0,0,1
2017-12-13,9,Winter,340,-11.1,46.0,3.4,0.0,0.0,0,0,1
2017-12-13,10,Winter,202,-9.5,39.0,2.1,0.0,0.0,0,0,1
2017-12-13,11,Winter,251,-8.1,35.0,1.8,0.0,0.0,0,0,1
2017-12-13,12,Winter,267,-6.5,30.0,2.9,0.0,0.0,0,0,1
2017-12-13,13,Winter,251,-5.8,28.0,2.9,0.0,0.0,0,0,2
2017-12-13,14,Winter,240,-4.7,27.0,2.9,0.0,0.0,0,0,1
2017-12-13,15,Winter,240,-4.9,26.0,3.1,0.0,0.0,0,0,2
2017-12-13,16,Winter,278,-4.5,26.0,2.2,0.0,0.0,0,0,3
2017-12-13,17,Winter,392,-5.6,29.0,1.7,0.0,0.0,0,0,1
2017-12-13,18,Winter,537,-6.6,33.0,1.1,0.0,0.0,0,0,1
2017-12-13,19,Winter,373,-6.6,31.0,1.6,0.0,0.0,0,0,2
2017-12-13,20,Winter,263,-7.6,35.0,0.8,0.0,0.0,0,0,2
2017-12-13,21,Winter,271,-8.3,39.0,1.0,0.0,0.0,0,0,3
2017-12-13,22,Winter,271,-8.9,39.0,0.1,0.0,0.0,0,0,1
2017-12-13,23,Winter,174,-9.2,44.0,0.4,0.0,0.0,0,0,3
2017-12-14,0,Winter,171,-9.5,50.0,0.6,0.0,0.0,0,0,2
2017-12-14,1,Winter,170,-9.8,48.0,0.8,0.0,0.0,0,0,1
2017-12-14,2,Winter,107,-10.6,44.0,0.8,0.0,0.0,0,0,2
2017-12-14,3,Winter,80,-10.7,48.0,0.4,0.0,0.0,0,0,3
2017-12-14,4,Winter,52,-11.0,50.0,0.8,0.0,0.0,0,0,1
2017-12-14,5,Winter,62,-10.8,48.0,0.8,0.0,0.0,0,0,1
2017-12-14,6,Winter,108,-11.0,55.0,0.8,0.0,0.0,0,0,2
2017-12-14,7,Winter,279,-10.9,57.0,1.1,0.0,0.0,0,0,3
2017-12-14,8,Winter,621,-10.4,54.0,1.1,0.0,0.0,0,0,2
2017-12-14,9,Winter,305,-9.4,44.0,0.5,0.0,0.0,0,0,3
2017-12-14,10,Winter,189,-7.7,43.0,0.9,0.0,0.0,0,0,1
2017-12-14,11,Winter,247,-6.1,38.0,1.0,0.0,0.0,0,0,3
2017-12-14,12,Winter,278,-4.9,34.0,1.3,0.0,0.0,0,0,1
2017-12-14,13,Winter,282,-3.8,32.0,0.9,0.0,0.0,0,0,1
2017-12-14,14,Winter,294,-2.7,28.0,0.7,0.0,0.0,0,0,2
2017-12-14,15,Winter,301,-2.5,29.0,1.1,0.0,0.0,0,0,1
2017-12-14,16,Winter,335,-2.4,28.0,0.9,0.0,0.0,0,0,2
2017-12-14,17,Winter,382,-2.9,31.0,0.6,0.0,0.0,0,0,1
2017-12-14,18,Winter,612,-3.5,35.0,1.1,0.0,0.0,0,0,1
2017-12-14,19,Winter,410,-4.2,40.0,0.9,0.0,0.0,0,0,2
